Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-01-03 00:00:00-02:00,1.6935561085076858,1.766162633895874,1.6699587047243656,1.766162633895874,1461600,0.0,0.0
2000-01-04 00:00:00-02:00,1.7661630424456853,1.8024667809301365,1.6935565002621116,1.7915759086608887,1504800,0.0,0.0
2000-01-05 00:00:00-02:00,1.766162681474029,1.9367892203736257,1.766162681474029,1.8877794742584229,1116000,0.0,0.0
2000-01-06 00:00:00-02:00,1.9113767942077284,1.9966898567931937,1.9113767942077284,1.9730925559997559,2210400,0.0,0.0
2000-01-07 00:00:00-02:00,1.9966899515691239,2.0093963828118273,1.9603866338729858,1.9603866338729858,17690400,0.0,0.0
2000-01-10 00:00:00-02:00,1.960386512491443,2.009396258395741,1.960386512491443,1.9839833974838257,4406400,0.0,0.0
2000-01-11 00:00:00-02:00,1.9603864883865973,1.973092503226263,1.900485873222351,1.900485873222351,4881600,0.0,0.0
2000-01-12 00:00:00-02:00,1.9004862857638356,1.9004862857638356,1.815172791481018,1.815172791481018,12024000,0.0,0.0
2000-01-13 00:00:00-02:00,1.8151725653296622,1.8278789968044997,1.6463614702224731,1.6463614702224731,1188000,0.0,0.0
2000-01-14 00:00:00-02:00,1.6935562457683095,1.6935562457683095,1.5973517894744873,1.5973517894744873,8827200,0.0,0.0
2000-01-17 00:00:00-02:00,1.6699589946785507,1.6971865892410278,1.6699589946785507,1.6971865892410278,1411200,0.0,0.0
2000-01-18 00:00:00-02:00,1.6971868199605449,1.6971868199605449,1.6409162701824902,1.66814386844635,2016000,0.0,0.0
2000-01-19 00:00:00-02:00,1.648176740400176,1.648176740400176,1.5973517441061333,1.620949149131775,2901600,0.0,0.0
2000-01-20 00:00:00-02:00,1.6209490602388472,1.6209490602388472,1.5737546682357788,1.5737546682357788,1627200,0.0,0.0
2000-01-21 00:00:00-02:00,1.5011476615081987,1.5247450658343724,1.4521380194508111,1.4648443460464478,21060000,0.0,0.0
2000-01-24 00:00:00-02:00,1.5247453948769072,1.5483423888352912,1.501147985458374,1.501147985458374,2023200,0.0,0.0
2000-01-25 00:00:00-02:00,1.501147985458374,1.501147985458374,1.501147985458374,1.501147985458374,0,0.0,0.0
2000-01-26 00:00:00-02:00,1.5011476747838741,1.5011476747838741,1.4811809757413499,1.4884413480758667,2232000,0.0,0.0
2000-01-27 00:00:00-02:00,1.488441334912562,1.5011476615081987,1.4285406151246371,1.4648443460464478,2793600,0.0,0.0
2000-01-28 00:00:00-02:00,1.475735592525608,1.4884415051140911,1.4521381855010986,1.4521381855010986,1814400,0.0,0.0
2000-01-31 00:00:00-02:00,1.4521379797681502,1.4521379797681502,1.415834665298462,1.415834665298462,6976800,0.0,0.0
2000-02-01 00:00:00-02:00,1.4285407834332584,1.4285407834332584,1.3668252229690552,1.3668252229690552,8028000,0.0,0.0
2000-02-02 00:00:00-02:00,1.3795311113167203,1.403128518007704,1.3305214643478394,1.3305214643478394,5925600,0.0,0.0
2000-02-03 00:00:00-02:00,1.3559339920773954,1.4230950845257495,1.3559339920773954,1.4031283855438232,22989600,0.0,0.0
2000-02-04 00:00:00-02:00,1.4158350072605683,1.4376170635223389,1.3922375978798354,1.4376170635223389,5947200,0.0,0.0
2000-02-07 00:00:00-02:00,1.4285407428372876,1.43217134475708,1.4031285028342,1.43217134475708,7423200,0.0,0.0
2000-02-08 00:00:00-02:00,1.4321713349519043,1.479365732040298,1.4285407330569684,1.43580162525177,7459200,0.0,0.0
2000-02-09 00:00:00-02:00,1.4521381863197678,1.4521381863197678,1.3994983520782462,1.4013131856918335,7848000,0.0,0.0
2000-02-10 00:00:00-02:00,1.4158347122132675,1.4230950845257495,1.3795309810805783,1.4031283855438232,8164800,0.0,0.0
2000-02-11 00:00:00-02:00,1.4031282099220932,1.410388996785845,1.3650095462799072,1.3650095462799072,1684800,0.0,0.0
2000-02-14 00:00:00-02:00,1.3341518241721153,1.3559338739978426,1.3196301460266113,1.3196301460266113,331200,0.0,0.0
2000-02-15 00:00:00-02:00,1.3069243431091309,1.3069243431091309,1.2343172966719371,1.3069243431091309,1058400,0.0,0.0
2000-02-16 00:00:00-02:00,1.3305211771260963,1.348673040487616,1.3305211771260963,1.33233642578125,6580800,0.0,0.0
2000-02-17 00:00:00-02:00,1.3377825167659902,1.392237713890511,1.3377825167659902,1.3795313835144043,3578400,0.0,0.0
2000-02-18 00:00:00-02:00,1.4031285417881303,1.4031285417881303,1.3432278149820585,1.3559341430664062,1699200,0.0,0.0
2000-02-21 00:00:00-02:00,1.3305216696776123,1.3795313242097982,1.3305216696776123,1.374085783958435,2289600,0.0,0.0
2000-02-22 00:00:00-02:00,1.3922373286208527,1.4448771579082815,1.3559340124040076,1.377716064453125,9028800,0.0,0.0
2000-02-23 00:00:00-02:00,1.4267259246986879,1.4267259246986879,1.3305214643478394,1.3305214643478394,856800,0.0,0.0
2000-02-24 00:00:00-02:00,1.3922374505813957,1.4176496910672958,1.330521475238361,1.3377822637557983,3499200,0.0,0.0
2000-02-25 00:00:00-02:00,1.3432276585976979,1.3559339852027203,1.3051089903776756,1.3069243431091309,3484800,0.0,0.0
2000-02-28 00:00:00-03:00,1.3069244731169567,1.3559341200858375,1.3069244731169567,1.3305214643478394,2793600,0.0,0.0
2000-02-29 00:00:00-03:00,1.3305214643478394,1.3504885806748452,1.3305214643478394,1.3305214643478394,1461600,0.0,0.0
2000-03-01 00:00:00-03:00,1.3305214621625565,1.3668251966629132,1.3305214621625565,1.3595643043518066,38116800,0.0,0.0
2000-03-02 00:00:00-03:00,1.3795310835412629,1.403128489757137,1.363194465637207,1.363194465637207,6912000,0.0,0.0
2000-03-03 00:00:00-03:00,1.3795311308150062,1.4521381855010986,1.3795311308150062,1.4521381855010986,6408000,0.0,0.0
2000-03-06 00:00:00-03:00,1.4521381855010986,1.4521381855010986,1.4521381855010986,1.4521381855010986,0,0.0,0.0
2000-03-07 00:00:00-03:00,1.4521381855010986,1.4521381855010986,1.4521381855010986,1.4521381855010986,0,0.0,0.0
2000-03-08 00:00:00-03:00,1.3795311356016247,1.3795311356016247,1.3595643305182044,1.3668252229690552,18302400,0.0,0.0
2000-03-09 00:00:00-03:00,1.3795310272499492,1.3795310272499492,1.343227710362343,1.3450430631637573,1454400,0.0,0.0
2000-03-10 00:00:00-03:00,1.3668251742383561,1.3668251742383561,1.3287065029144287,1.3287065029144287,792000,0.0,0.0
2000-03-13 00:00:00-03:00,1.3268912778488866,1.3305214643478394,1.2706207385569739,1.3305214643478394,1396800,0.0,0.0
2000-03-14 00:00:00-03:00,1.3069244731169567,1.3305214643478394,1.3069244731169567,1.3305214643478394,2584800,0.0,0.0
2000-03-15 00:00:00-03:00,1.3414120023538163,1.3414120023538163,1.306924047400066,1.3123695850372314,6501600,0.0,0.0
2000-03-16 00:00:00-03:00,1.3268912778488866,1.3432277922168385,1.3232609874849086,1.3305214643478394,7056000,0.0,0.0
2000-03-17 00:00:00-03:00,1.337782252805846,1.3432277922168385,1.3214457384378944,1.3305214643478394,5076000,0.0,0.0
2000-03-20 00:00:00-03:00,1.330521222871978,1.330521222871978,1.3196301460266113,1.3196301460266113,252000,0.0,0.0
2000-03-21 00:00:00-03:00,1.3268911458548398,1.32870639472128,1.30147880423984,1.3069243431091309,6955200,0.0,0.0
2000-03-22 00:00:00-03:00,1.3287060404468687,1.3559336236685873,1.3069239946424913,1.3414119482040405,8762400,0.0,0.0
2000-03-23 00:00:00-03:00,1.3486732458857895,1.3559340338821908,1.3232609033584595,1.3232609033584595,6501600,0.0,0.0
2000-03-24 00:00:00-03:00,1.3305217268753449,1.3795313835144043,1.3305217268753449,1.3795313835144043,5364000,0.0,0.0
2000-03-27 00:00:00-03:00,1.3922372996628862,1.5011476615081987,1.3922372996628862,1.4648443460464478,3938400,0.0,0.0
2000-03-28 00:00:00-03:00,1.4521381614550253,1.5247452149388117,1.4521381614550253,1.517484426498413,8251200,0.0,0.0
