Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,110036.0,112445.0,110036.0,110335.0,110335.0,11239900
2021-03-02,110328.0,112428.0,107319.0,111540.0,111540.0,14823200
2021-03-03,111529.0,112398.0,107466.0,111184.0,111184.0,15144300
2021-03-04,111191.0,114433.0,111163.0,112690.0,112690.0,14221600
2021-03-05,112690.0,115504.0,112504.0,115202.0,115202.0,13254800
2021-03-08,115202.0,115202.0,110268.0,110612.0,110612.0,0
2021-03-09,110611.0,112525.0,109343.0,111331.0,111331.0,12135300
2021-03-10,111331.0,112928.0,109999.0,112776.0,112776.0,12511800
2021-03-11,112782.0,115127.0,112776.0,114984.0,114984.0,12092100
2021-03-12,114984.0,114984.0,113253.0,114160.0,114160.0,8110700
2021-03-15,114093.0,114903.0,113635.0,114851.0,114851.0,8224700
2021-03-16,114845.0,114974.0,113370.0,114019.0,114019.0,78000
2021-03-17,114018.0,116736.0,113428.0,116549.0,116549.0,94300
2021-03-18,116549.0,116751.0,114302.0,114835.0,114835.0,9920100
2021-03-19,114837.0,116446.0,114610.0,116222.0,116222.0,12341800
2021-03-22,116222.0,116225.0,113620.0,114979.0,114979.0,8160600
2021-03-23,114977.0,115599.0,113062.0,113262.0,113262.0,8301500
2021-03-24,113272.0,114823.0,112064.0,112064.0,112064.0,9834000
2021-03-25,112065.0,114024.0,110927.0,113750.0,113750.0,10306500
2021-03-26,113750.0,115416.0,113305.0,114781.0,114781.0,8659500
2021-03-29,114776.0,115553.0,114096.0,115419.0,115419.0,7463300
2021-03-30,115414.0,117090.0,114999.0,116850.0,116850.0,8141600
2021-03-31,116850.0,117249.0,115932.0,116634.0,116634.0,10659200
2021-04-01,116644.0,117088.0,114991.0,115253.0,115253.0,8009200
2021-04-05,115262.0,117668.0,115262.0,117518.0,117518.0,7245100
2021-04-06,117519.0,118213.0,117176.0,117499.0,117499.0,6800800
2021-04-07,117499.0,118303.0,116748.0,117624.0,117624.0,0
2021-04-08,117624.0,118850.0,117486.0,118313.0,118313.0,8778200
2021-04-09,118313.0,118643.0,117336.0,117670.0,117670.0,7739400
2021-04-12,117661.0,118812.0,117661.0,118812.0,118812.0,7000500
2021-04-13,118809.0,119529.0,118041.0,119297.0,119297.0,8977600
2021-04-14,119298.0,120871.0,119298.0,120295.0,120295.0,10076600
2021-04-15,120290.0,121409.0,120084.0,120701.0,120701.0,7948100
2021-04-16,120701.0,121333.0,120199.0,121114.0,121114.0,7945600
2021-04-19,121116.0,121974.0,120682.0,120934.0,120934.0,10028100
